Timestamp,Coordinates,ID Number,3months
2021-10-19,"[43.270015266917845, -120.99866857931747]",764939464.0,2021-07-19
2021-07-18,"[43.825736085970476, -119.6874162899144]",496131171.0,2021-04-18
2017-11-23,"[42.08289588076026, -118.72530304625641]",981289671.0,2017-08-23
2017-10-17,"[43.562008167727406, -120.7898484171608]",733336443.0,2017-07-17
2021-10-10,"[42.54594266358967, -117.11395609618201]",627367907.0,2021-07-10
2017-11-14,"[44.37875231999844, -122.34251323086035]",270432823.0,2017-08-14
2017-08-22,"[44.962286570226645, -122.32250078040119]",107932272.0,2017-05-22
2017-08-03,"[42.60168191876036, -124.32103609773479]",132054419.0,2017-05-03
2020-07-08,"[42.57957345746689, -120.44216959576707]",223180064.0,2020-04-08
2020-09-28,"[45.608782597186455, -123.94520946176078]",411056864.0,2020-06-28
2018-10-27,"[45.82331846781353, -119.87461677208074]",776453109.0,2018-07-27
2021-08-08,"[44.86389523857445, -119.61939704657185]",599426110.0,2021-05-08
2021-11-18,"[43.98175799967919, -123.75681002533918]",169083604.0,2021-08-18
2018-11-22,"[45.15715126686893, -121.83420500177222]",117840021.0,2018-08-22
2021-11-07,"[45.821079525799576, -116.50339402753521]",586894500.0,2021-08-07
2019-09-19,"[45.02862020057482, -121.10514826751844]",828786602.0,2019-06-19
2018-11-05,"[44.988275139388556, -122.50614584882368]",640388209.0,2018-08-05
2019-10-07,"[44.23363835266412, -118.15975109612782]",639706259.0,2019-07-07
2017-10-09,"[44.80209063635213, -117.7127242904787]",509798630.0,2017-07-09
2017-09-01,"[42.16124047767332, -117.13250342398406]",908674576.0,2017-06-01
2020-07-29,"[44.866354764679244, -119.23752155493179]",619493660.0,2020-04-29
2019-09-12,"[45.90772272193409, -117.54581570434911]",942058799.0,2019-06-12
2018-09-25,"[42.49477564340829, -117.78457481649411]",848064574.0,2018-06-25
2018-09-28,"[43.96525803228976, -117.59464843539007]",856542871.0,2018-06-28
2019-11-28,"[44.27971054752981, -121.9304283301877]",155792731.0,2019-08-28
2017-11-09,"[45.68045888155513, -122.26679235355232]",639005014.0,2017-08-09
2021-08-06,"[45.75829311327715, -123.54054242251259]",669974961.0,2021-05-06
2021-11-04,"[42.051407905363234, -121.16679822962051]",556528931.0,2021-08-04
2021-07-17,"[42.939648778214384, -123.10625281449533]",595497128.0,2021-04-17
2019-10-15,"[44.95919761549996, -118.28022183728687]",585209797.0,2019-07-15
2017-09-12,"[43.70133751661062, -123.32531233548875]",358106934.0,2017-06-12
2018-08-21,"[44.876539864064185, -121.76235565686416]",864957824.0,2018-05-21
2019-07-27,"[43.8934114855362, -124.2839021147397]",165737404.0,2019-04-27
2021-11-04,"[43.7986813379997, -117.94417068696804]",598612890.0,2021-08-04
2020-10-20,"[43.07555861085287, -120.00238143569001]",230224467.0,2020-07-20
2019-07-03,"[44.581687396283264, -119.21638269261534]",131436486.0,2019-04-03
2019-10-02,"[45.99838937674807, -117.63731082574643]",934928099.0,2019-07-02
2020-09-21,"[45.966150309729656, -123.17682764243122]",513516283.0,2020-06-21
2017-09-19,"[44.632646878293095, -118.29752702836925]",325400454.0,2017-06-19
2019-09-21,"[43.09283206365273, -122.26728689849479]",590226716.0,2019-06-21
2019-11-18,"[45.93430493229583, -122.3652209828085]",162907358.0,2019-08-18
2017-10-25,"[45.66912247076204, -119.51324193649351]",999296461.0,2017-07-25
2020-09-26,"[42.20792534301834, -123.04024652612287]",915258408.0,2020-06-26
2020-07-19,"[45.87246706551886, -118.94963864022415]",224493837.0,2020-04-19
2018-11-13,"[44.076247624216386, -124.08931080927063]",993351790.0,2018-08-13
2019-10-23,"[45.952698347883185, -118.1950903886246]",305311383.0,2019-07-23
2018-07-09,"[45.746893121589906, -122.33868865336166]",280896422.0,2018-04-09
2017-08-11,"[45.24964207560141, -118.82439006131813]",403721205.0,2017-05-11
2021-11-08,"[42.155222396782285, -119.7463167707209]",874994063.0,2021-08-08
