Low;High;Rain;Month/Year;City;Lat;Long
41,4;50,2;7,58;43831;Portland;45,53;-122,69
36;51,9;1,55;43862;Portland;45,53;-122,69
38,2;54,6;2,43;43891;Portland;45,53;-122,69
44,1;64,9;0,79;43922;Portland;45,53;-122,69
51;69,7;22,1;43952;Portland;45,53;-122,69
55,1;73,3;3,51;43983;Portland;45,53;-122,69
58,9;81,5;0,05;44013;Portland;45,53;-122,69
59,2;83,1;0,83;44044;Portland;45,53;-122,69
57,5;77,3;2,06;44075;Portland;45,53;-122,69
47,3;65;1,51;44105;Portland;45,53;-122,69
40;52,8;5,28;44136;Portland;45,53;-122,69
38,3;49,5;5,09;44166;Portland;45,53;-122,69
28;39;4,13;42736;Portland;45,53;-122,69
34,8;46,8;10,36;42767;Portland;45,53;-122,69
41,1;54,2;7,26;42795;Portland;45,53;-122,69
42,7;58,7;4,51;42826;Portland;45,53;-122,69
49,3;70,2;1,92;42856;Portland;45,53;-122,69
55,3;75,4;1,08;42887;Portland;45,53;-122,69
57,3;82,7;0;42917;Portland;45,53;-122,69
60,2;87,1;0,06;42948;Portland;45,53;-122,69
55,6;77,5;2,38;42979;Portland;45,53;-122,69
44,4;64,2;4,57;43009;Portland;45,53;-122,69
42,1;52,6;6,44;43040;Portland;45,53;-122,69
34,2;45,5;3,09;43070;Portland;45,53;-122,69
35,1;47,7;2,7;41640;Portland;45,53;-122,69
34,6;46;5,12;41671;Portland;45,53;-122,69
40,2;58;7,52;41699;Portland;45,53;-122,69
44,7;62,7;3,03;41730;Portland;45,53;-122,69
51,3;71,1;2,39;41760;Portland;45,53;-122,69
53,9;73,4;2,33;41791;Portland;45,53;-122,69
59,8;83,8;1,05;41821;Portland;45,53;-122,69
61,4;84,8;0,01;41852;Portland;45,53;-122,69
56,5;78,7;0,98;41883;Portland;45,53;-122,69
52,1;68;5,94;41913;Portland;45,53;-122,69
40,7;51,9;2,99;41944;Portland;45,53;-122,69
39,1;49,2;6,05;41974;Portland;45,53;-122,69
41,2;51,9;6,59;43831;Eugune;44,08;-123,08
33,3;51,6;1,48;43862;Eugune;44,08;-123,08
35;55,8;3;43891;Eugune;44,08;-123,08
40,8;65,1;1,46;43922;Eugune;44,08;-123,08
46,1;69,4;2,98;43952;Eugune;44,08;-123,08
50,3;74,2;1,69;43983;Eugune;44,08;-123,08
53,3;84,8;0;44013;Eugune;44,08;-123,08
52,5;86,2;0,05;44044;Eugune;44,08;-123,08
51,4;78,1;2,75;44075;Eugune;44,08;-123,08
42,1;66,3;1,38;44105;Eugune;44,08;-123,08
36,5;54,2;5,47;44136;Eugune;44,08;-123,08
35,6;49,7;6,45;44166;Eugune;44,08;-123,08
29,4;42,7;4,05;42736;Eugune;44,08;-123,08
36,5;49,6;9,33;42767;Eugune;44,08;-123,08
40,8;54,9;5,82;42795;Eugune;44,08;-123,08
40,9;59,1;3,65;42826;Eugune;44,08;-123,08
43,9;69,2;1,22;42856;Eugune;44,08;-123,08
49,1;74,3;1,38;42887;Eugune;44,08;-123,08
50,2;84,7;0,02;42917;Eugune;44,08;-123,08
52,9;86,8;0,14;42948;Eugune;44,08;-123,08
49,6;77,2;1,05;42979;Eugune;44,08;-123,08
39,4;63,4;4,08;43009;Eugune;44,08;-123,08
38,1;52,5;7,46;43040;Eugune;44,08;-123,08
29,2;44,4;2,47;43070;Eugune;44,08;-123,08
33,3;46,1;2,58;41640;Eugune;44,08;-123,08
35,4;48,3;7,97;41671;Eugune;44,08;-123,08
39,4;58,8;6,09;41699;Eugune;44,08;-123,08
40,9;63,4;2,43;41730;Eugune;44,08;-123,08
45,2;71,1;1,64;41760;Eugune;44,08;-123,08
47,8;74,9;1,29;41791;Eugune;44,08;-123,08
54,1;87,5;0,37;41821;Eugune;44,08;-123,08
55;87,8;0,19;41852;Eugune;44,08;-123,08
50,2;8,9;1,25;41883;Eugune;44,08;-123,08
48,2;7,1;4,7;41913;Eugune;44,08;-123,08
37,7;52,4;5,28;41944;Eugune;44,08;-123,08
38,5;50;7,07;41974;Eugune;44,08;-123,08
28,4;42,9;0,07;43831;Princeton;42,82;-118,35
28;47,9;0,04;43862;Princeton;42,82;-118,35
36,4;55,9;0,05;43891;Princeton;42,82;-118,35
36,7;69,8;0,03;43922;Princeton;42,82;-118,35
47,7;83,6;0,05;43952;Princeton;42,82;-118,35
